,Name of company,Work Mode,Min CGPA,Seats for Boys,Seats for Girls,Number of Dead Backlogs permitted,Number of Active Backlogs permitted,Preffered month of visiting campus,Domain to Hire,Version Control,Continuous Integration,Configuration Management,Containerization,Continuous Deployment,Monitoring and Logging,Collaboration and Communication
0,SHAH TECHNICAL CONSULTANTS PVT.LTD,Work from office,9.9,10,0,1,0,October,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,GitLab,Bitbucket,Git","Ruby,Groovy,Jenkins,Python,Travis CI,Java,CircleCI","Puppet,YAML,Ansible,Chef",,"Python,YAML,Chef,Ansible","Python,Ruby,Nagios,Grafana,Prometheus,YAML,ELK stack","Microsoft Teams,Slack,Jira,Trello"
1,SHAPOORJI PALLONJI,Work from Home,8.5,8,2,1,2,July,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,GitHub,Bitbucket,Git","Ruby,Groovy,Jenkins,Travis CI,CircleCI","Chef,Ansible,YAML,Puppet","Kubernetes,Docker,Docker Compose,Helm","Chef,Ruby,YAML,Ansible,Python,Puppet","Java,Ruby,YAML","Trello,Jira,Slack,Microsoft Teams"
2,ICICI SECURITIES,Work from office,8.5,3,10,2,1,August,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,Bitbucket","Java,Ruby,Groovy,Travis CI","Python,Ruby,Ansible,Puppet,YAML,Chef","Docker Compose,Helm,Docker,Kubernetes","YAML,Ruby",,
3,TATA TECHNOLOGIES,Work from office,7.1,5,4,0,1,October,ğŸ‘¨â€ğŸ’»Devops Engineer,,"CircleCI,Travis CI,Java,Jenkins,Groovy,Ruby","Ansible,YAML",Helm,,"Prometheus,YAML,ELK stack,Java",Trello
4,TEJAS NETWORKS,Work from Home,7.9,7,3,0,0,September,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,Bitbucket","Ruby,Groovy,Travis CI,Java,Jenkins,CircleCI,Python",Chef,"Docker,Helm,Docker Compose,Kubernetes","Python,Chef,Puppet,YAML,Ansible,Ruby","ELK stack,Java,YAML,Python,Prometheus,Nagios",
5,BES CONSULTANT PVT.LTD,Work from Home,8.3,10,5,1,2,October,ğŸ‘¨â€ğŸ’»Devops Engineer,GitLab,"Ruby,Jenkins,Travis CI","Ansible,YAML,Chef",Docker,,"ELK stack,YAML,Ruby,Grafana,Java,Python","Jira,Microsoft Teams,Trello"
6,FEV INDIA,Work from office,6.1,8,2,0,0,July,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Java,Jenkins,Travis CI,Ruby,Groovy",,"Kubernetes,Docker,Docker Compose","Chef,Ansible,Ruby,Python,YAML","Prometheus,Python,Grafana,Nagios,YAML,Ruby,Java,ELK stack",
7,FAMITECH TECHNOLOGY,Work from office,9.4,9,9,0,0,September,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,GitLab","Python,Jenkins",,"Kubernetes,Docker Compose,Helm","Ruby,Python,Puppet,Ansible,Chef,YAML","Grafana,YAML,Prometheus",Microsoft Teams
8,TORRENT GAS,Work from Home,7.2,8,5,0,2,July,ğŸ‘¨â€ğŸ’»Devops Engineer,Bitbucket,"Jenkins,Ruby,Travis CI,Java,Python",,Kubernetes,"Python,YAML","Python,YAML,Java,ELK stack","Microsoft Teams,Slack,Trello"
9,PHILIPS,Work from office,8.6,9,6,1,0,July,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,Git","Groovy,Java","Python,Chef,Puppet,Ansible,Ruby",,"Ansible,Chef,Ruby,Puppet,YAML","YAML,Nagios,Java,ELK stack,Grafana",
10,TATA IQ,Work from office,9.7,2,6,2,1,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitHub,GitLab,Git",,,"Helm,Kubernetes,Docker,Docker Compose","Chef,Python,Ruby","YAML,Ruby,Python,ELK stack,Java,Nagios","Jira,Slack,Microsoft Teams"
11,MOTT MACDONALD,Work from office,7.5,3,2,1,1,June,ğŸ‘¨â€ğŸ’»Devops Engineer,Bitbucket,"Jenkins,Travis CI,Ruby,Java,CircleCI,Groovy,Python","YAML,Python,Ruby,Puppet,Ansible",,Ruby,"Prometheus,Python","Trello,Microsoft Teams,Jira"
12,V CONSTRUCT,Work from office,10.0,8,2,2,2,September,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,GitHub,Bitbucket,GitLab","Java,Groovy,Ruby,Travis CI","YAML,Ansible,Ruby,Python",,"Chef,Puppet,Python,YAML,Ansible,Ruby","Python,Grafana,Ruby","Jira,Trello"
13,ALIGNED AUTOMATION,Work from Home,8.4,0,2,1,0,June,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Groovy,Ruby,Jenkins,Travis CI","YAML,Python,Chef,Puppet,Ansible,Ruby",Docker,Ansible,"Ruby,Grafana","Trello,Jira,Microsoft Teams,Slack"
14,ALIGNED AUTOMATION,Work from Home,9.6,6,3,1,0,July,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,Git,Bitbucket,GitHub","CircleCI,Travis CI,Jenkins,Java,Groovy",YAML,"Docker Compose,Docker,Kubernetes",Python,,"Slack,Trello,Jira,Microsoft Teams"
15,HDFC BANK,Work from office,8.4,10,6,1,2,December,ğŸ‘¨â€ğŸ’»Devops Engineer,Git,"CircleCI,Groovy,Python,Ruby",,"Kubernetes,Docker,Docker Compose",Python,YAML,Microsoft Teams
16,SOKRATI,Work from Home,8.8,3,6,0,2,October,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Jenkins,Travis CI,CircleCI,Groovy,Ruby","Ansible,Python,Ruby,YAML",,,"Python,Ruby","Trello,Slack,Jira,Microsoft Teams"
17,ATOMBERG,Work from office,6.2,7,8,1,1,Novermber,ğŸ‘¨â€ğŸ’»Devops Engineer,GitHub,,,,"Chef,Ruby,YAML,Ansible,Python",,Microsoft Teams
18,HINDUSTAN UNIVER,Work from office,8.3,10,4,0,0,August,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Java,CircleCI,Python,Groovy,Ruby,Jenkins,Travis CI","Chef,Puppet",Docker,"Ruby,Python,Puppet,Chef,Ansible","Java,Grafana",Microsoft Teams
19,09 SOLUTIONS,Work from office,6.8,3,4,1,0,August,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Groovy,Jenkins,Travis CI,Python","YAML,Chef,Ansible,Python,Puppet,Ruby",Docker,"Ansible,Ruby,Chef,Puppet",YAML,
20,CREDIT SUISSE,Work from Home,6.9,9,9,1,2,August,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,GitLab,GitHub","Travis CI,Python","Python,Ansible,Puppet,Ruby,Chef",,"Python,YAML,Ruby","Java,ELK stack,Grafana,Nagios","Trello,Jira,Slack,Microsoft Teams"
21,BELDEN INDIA,Work from Home,9.3,10,10,1,1,October,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,Git,GitHub","Java,Python,Groovy,Ruby,Jenkins,CircleCI,Travis CI",,,"Chef,YAML","Java,Nagios,Python,Prometheus,Grafana,YAML,Ruby",Slack
22,TCS R&I,Work from Home,7.0,9,8,1,2,September,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitLab",CircleCI,"Chef,Ansible,YAML,Ruby","Docker,Kubernetes,Docker Compose,Helm","Ansible,Ruby,Chef,YAML,Puppet,Python","Python,ELK stack,Grafana","Microsoft Teams,Slack,Jira,Trello"
23,TAVISCA,Work from office,6.6,2,0,1,0,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,GitHub,Bitbucket,Git","Jenkins,Travis CI,Ruby,Java,Python","Puppet,Ansible,Ruby,Chef,Python,YAML",Helm,"Puppet,Python,Chef,Ruby,YAML,Ansible",,Slack
24,CREDIT SUISSE,Work from office,9.3,9,8,0,1,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,Bitbucket","Groovy,Ruby,CircleCI","Ansible,Python,Ruby,Chef,Puppet,YAML",,"Python,Ansible,Puppet,Chef,YAML","Java,Prometheus,Grafana,Python","Microsoft Teams,Jira,Slack,Trello"
25,ARCESIUM,Work from office,9.0,10,9,1,0,August,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Python,Java,Travis CI,Jenkins,Ruby,CircleCI",,"Docker Compose,Helm","Ruby,Chef,Puppet","Python,Nagios,Grafana,Prometheus,Java,ELK stack,Ruby,YAML",
26,VODAFONE,Work from Home,9.5,9,4,2,0,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitHub,GitLab","Jenkins,Ruby,Groovy,Python,CircleCI,Travis CI,Java","Ansible,Puppet,Chef","Docker Compose,Kubernetes,Docker","Chef,Python,Puppet",Ruby,"Jira,Microsoft Teams,Trello,Slack"
27,REBEL FOODS,Work from Home,6.8,9,9,0,2,July,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,GitHub,Bitbucket",,Puppet,,,,Jira
28,NUANCE,Work from Home,9.4,9,4,1,1,Novermber,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,GitHub","Jenkins,Ruby,Groovy","Python,YAML,Puppet","Helm,Docker Compose","YAML,Puppet,Ruby,Chef","Ruby,Prometheus,Python","Slack,Jira,Microsoft Teams"
29,BROSE INDIA,Work from office,7.0,0,2,2,0,July,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,GitLab,Git","CircleCI,Jenkins,Groovy,Ruby,Python,Travis CI,Java","YAML,Ruby,Chef",,"Python,Ruby,YAML","Grafana,Python,Java,Ruby,Nagios,ELK stack,YAML,Prometheus","Trello,Microsoft Teams,Jira,Slack"
30,VISTEON,Work from office,8.6,8,2,2,0,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitLab,Git,GitHub","Ruby,Java,Travis CI",,Kubernetes,"YAML,Chef","Java,ELK stack","Jira,Trello,Slack"
31,TATA TECHNOLOGIES,Work from office,7.4,6,10,2,1,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,Git,Bitbucket","Travis CI,Groovy","Chef,Ruby,YAML","Kubernetes,Helm",,Prometheus,Slack
32,TAVISCA,Work from Home,7.2,5,1,0,1,October,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,Git,GitLab","Travis CI,Groovy","Puppet,Chef,YAML,Ansible,Ruby,Python",Kubernetes,"Python,Puppet,Ansible,Chef,YAML,Ruby","Java,Grafana,Prometheus",Jira
33,HIGHWAY 9 NETWORKS,Work from Home,6.6,1,0,0,0,August,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitLab,GitHub,Git",Java,"Ruby,Ansible,YAML,Chef","Docker,Kubernetes,Docker Compose,Helm",Puppet,"Prometheus,Nagios",
34,ASSYSTEM STUP,Work from Home,9.4,9,0,2,0,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitHub,Git","Jenkins,Travis CI,Groovy","Chef,Ansible,Ruby,Python,YAML,Puppet","Docker,Helm,Kubernetes","Puppet,Ansible,YAML,Chef","Nagios,Prometheus",Microsoft Teams
35,DANA INDIA,Work from office,9.0,4,7,0,1,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,GitHub,Bitbucket","Ruby,Groovy,Jenkins,Python,CircleCI,Java,Travis CI","Ansible,YAML,Ruby,Python,Puppet","Docker,Kubernetes,Helm,Docker Compose","Puppet,Ansible,YAML","Nagios,Java,Grafana,YAML,Python","Jira,Microsoft Teams"
36,EBARA CORPORATION,Work from Home,6.2,7,5,0,0,December,ğŸ‘¨â€ğŸ’»Devops Engineer,Git,"Java,Python,Jenkins","Ruby,Chef,YAML,Puppet,Python",,"Chef,Python,Ruby,YAML,Ansible","Ruby,Java,Python",Microsoft Teams
37,ROCKWELL AUTOMATION,Work from Home,7.1,8,8,1,1,Novermber,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,GitLab,Bitbucket","Python,Groovy,CircleCI","Ansible,Puppet,Chef,Python,Ruby","Docker,Kubernetes,Docker Compose,Helm","Chef,YAML,Puppet,Python,Ansible","Grafana,Java,YAML,Python,Nagios,ELK stack,Prometheus",Slack
38,SAMSUNG R&D,Work from Home,7.7,1,0,0,1,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,GitHub",CircleCI,"Ruby,Python,YAML,Puppet","Docker Compose,Helm,Docker,Kubernetes",Chef,"Ruby,Nagios,Python","Trello,Slack"
39,09 SOLUTIONS,Work from Home,9.5,1,1,0,0,December,ğŸ‘¨â€ğŸ’»Devops Engineer,Git,"Ruby,Python","YAML,Ruby",Kubernetes,"Ansible,Puppet,Python,Ruby,Chef",,"Slack,Microsoft Teams,Trello,Jira"
40,FINIQ,Work from Home,9.8,6,5,0,2,June,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Ruby,Groovy,Jenkins,Travis CI,CircleCI","Chef,Ruby,Ansible,YAML","Docker,Helm,Docker Compose","Ansible,Puppet,Python",Grafana,"Jira,Microsoft Teams,Trello"
41,VODAFONE,Work from Home,9.7,0,2,2,1,August,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,Git,GitLab,GitHub","Ruby,CircleCI","Ansible,Chef,Python,YAML",,"Python,Ansible",,"Slack,Trello,Microsoft Teams"
42,TORRENT GAS,Work from Home,10.0,0,10,0,1,September,ğŸ‘¨â€ğŸ’»Devops Engineer,,"CircleCI,Python,Travis CI,Jenkins,Groovy,Ruby","YAML,Python","Helm,Docker","Chef,Python,Ansible,YAML,Puppet","YAML,Ruby,Nagios,Grafana,Prometheus,Java","Trello,Slack,Microsoft Teams,Jira"
43,SAMSUNG R&D,Work from Home,7.4,8,10,1,0,August,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,GitHub,GitLab,Bitbucket",Ruby,"Puppet,Ansible,Ruby,Chef","Helm,Kubernetes,Docker Compose","Python,Puppet","Python,ELK stack,Ruby","Jira,Slack,Trello"
44,ADANI GROUP,Work from Home,7.4,10,2,0,2,September,ğŸ‘¨â€ğŸ’»Devops Engineer,GitLab,"Travis CI,CircleCI","Puppet,YAML,Ruby,Ansible,Python","Docker Compose,Kubernetes,Helm","Python,Ansible,YAML,Ruby,Puppet","Python,Ruby,ELK stack,Grafana,Java,YAML,Prometheus,Nagios","Slack,Microsoft Teams,Jira,Trello"
45,HELLA,Work from Home,9.8,2,0,1,2,December,ğŸ‘¨â€ğŸ’»Devops Engineer,,Java,"Ansible,YAML,Python",,"Chef,Ansible,Ruby,Puppet","Grafana,Python,Prometheus,Java","Slack,Microsoft Teams"
46,REBEL FOODS,Work from Home,7.5,5,5,0,0,Novermber,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,Git","Jenkins,CircleCI,Java,Travis CI","Ruby,Python,Puppet","Helm,Kubernetes,Docker","Chef,Puppet,Ruby","Python,ELK stack,Java,Ruby,Nagios","Jira,Microsoft Teams,Slack,Trello"
47,AFCONS,Work from office,7.7,8,9,2,0,December,ğŸ‘¨â€ğŸ’»Devops Engineer,GitLab,"CircleCI,Python,Jenkins,Java,Groovy,Ruby,Travis CI","Ruby,Puppet,Ansible",,"Puppet,Ruby,Chef,Ansible",Ruby,
48,CATERPILLAR,Work from Home,9.0,7,7,0,2,June,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,Git,GitLab,GitHub","Python,Groovy,Jenkins,Travis CI","YAML,Python,Ruby,Ansible,Puppet","Docker Compose,Docker,Helm,Kubernetes","Puppet,YAML,Ansible,Ruby,Python","Prometheus,Ruby,Nagios","Jira,Microsoft Teams,Slack"
49,DANA INDIA,Work from office,6.8,7,7,1,1,September,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,GitHub","Jenkins,Travis CI,Python,CircleCI,Ruby,Java,Groovy","Ansible,Chef,Ruby,Python","Kubernetes,Docker,Helm,Docker Compose","YAML,Puppet,Chef,Python,Ansible",Python,"Microsoft Teams,Jira,Trello"
50,SOKRATI,Work from Home,9.3,7,5,0,1,September,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Travis CI,Jenkins,Python,CircleCI,Java,Groovy,Ruby",,"Docker,Kubernetes,Helm,Docker Compose","YAML,Ansible,Ruby,Python,Puppet,Chef",Ruby,"Trello,Microsoft Teams,Slack"
51,PAYTM,Work from Home,8.7,9,10,0,0,October,ğŸ‘¨â€ğŸ’»Devops Engineer,GitLab,"Groovy,Ruby,Jenkins","Chef,Puppet,Ruby,Python,Ansible","Kubernetes,Docker Compose,Docker,Helm",,Grafana,"Slack,Jira"
52,COGNIZANT GENC ELEVATE,Work from office,7.0,3,2,1,1,Novermber,ğŸ‘¨â€ğŸ’»Devops Engineer,,"CircleCI,Jenkins,Python,Java,Groovy,Travis CI,Ruby","Python,Chef","Kubernetes,Docker","Python,YAML,Ansible,Ruby",,"Slack,Trello"
53,BGAUSES,Work from office,7.6,5,10,0,1,October,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,Bitbucket","Python,CircleCI,Groovy,Travis CI,Ruby","Chef,Python,Ruby",Docker Compose,"Puppet,YAML","YAML,ELK stack,Grafana","Trello,Slack,Jira"
54,ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT (AIILSG),Work from office,7.8,0,0,0,2,September,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitHub,GitLab","Jenkins,Groovy,Ruby","Ansible,Ruby,YAML,Python",Helm,"Python,YAML,Puppet,Ruby","Ruby,Prometheus,YAML,Grafana,ELK stack","Trello,Jira,Slack"
55,PAYTM,Work from Home,8.9,6,0,1,1,December,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Ruby,Jenkins,CircleCI","YAML,Ruby,Python,Chef,Puppet",,"Chef,Ruby","Python,Java,Prometheus,YAML,Nagios,ELK stack","Trello,Jira,Slack,Microsoft Teams"
56,VARROC TECHNICAL CENTRE,Work from Home,6.3,10,8,2,1,Novermber,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,GitLab,GitHub",,"Chef,Ruby,YAML","Kubernetes,Helm,Docker","Python,Chef","Ruby,YAML,Grafana,Python,Nagios,Java",Microsoft Teams
57,MASTERCARD,Work from Home,8.5,10,3,2,2,June,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,Git,Bitbucket","CircleCI,Groovy,Travis CI,Jenkins,Python,Ruby","Ruby,Ansible,Puppet,Chef",Kubernetes,"Ansible,YAML,Chef,Python,Ruby","Java,Prometheus,Grafana,YAML,Nagios","Jira,Trello,Slack"
58,REBEL FOODS,Work from Home,8.6,4,2,1,2,June,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,Bitbucket",Python,"Chef,Ruby,Ansible","Docker,Helm,Kubernetes",,"ELK stack,Java","Slack,Jira,Microsoft Teams,Trello"
59,AFCONS,Work from office,8.1,7,9,0,0,July,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,Bitbucket,GitHub,GitLab","CircleCI,Travis CI,Ruby","Python,YAML,Chef,Ansible,Ruby,Puppet","Docker Compose,Kubernetes","Chef,Python,Ansible,YAML,Ruby,Puppet","Grafana,ELK stack,Prometheus,YAML,Python,Java,Ruby,Nagios","Slack,Jira,Microsoft Teams"
60,EY INDIA,Work from office,7.4,8,5,1,2,September,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,GitLab,Git",,"Chef,Python,YAML,Puppet",,"Puppet,YAML,Ruby,Chef,Ansible,Python",,Trello
61,ORACLE,Work from office,6.8,3,8,1,2,Novermber,ğŸ‘¨â€ğŸ’»Devops Engineer,,"Ruby,Jenkins,CircleCI",Puppet,Docker Compose,"Ansible,Python,Ruby,Puppet,Chef","ELK stack,Java",
62,AMERICAN AXLE MANUFACTURING INDIA PVT.LTD,Work from Home,7.2,4,0,1,1,June,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,Bitbucket,GitLab",,"Python,Ansible,Ruby,Chef,YAML,Puppet","Helm,Docker","Python,Ruby,Chef,Ansible","Python,Ruby,Java,Prometheus,ELK stack,Grafana","Trello,Jira"
63,TCS XPLORE,Work from Home,9.4,2,1,0,1,August,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitLab,Bitbucket,GitHub",Ruby,"Ruby,Ansible,Puppet,YAML,Python,Chef",Docker Compose,"Puppet,Chef,Python,Ruby",YAML,"Trello,Slack"
64,ELECTROMECH,Work from office,7.7,8,8,0,2,December,ğŸ‘¨â€ğŸ’»Devops Engineer,"Git,Bitbucket,GitLab",Java,,,"Puppet,Chef",Nagios,"Microsoft Teams,Jira,Trello,Slack"
65,AKZONOBEL,Work from office,8.8,8,8,1,0,June,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitHub,Git,GitLab",Jenkins,"Chef,Ruby","Kubernetes,Helm,Docker,Docker Compose",Ansible,"Ruby,Java,Nagios,ELK stack,Prometheus,Python,Grafana,YAML",
66,ARMSTRONG AUTOMATION,Work from Home,6.1,10,2,0,2,August,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,Bitbucket","Python,Travis CI","Chef,YAML,Ansible,Ruby,Puppet","Docker Compose,Helm",,Prometheus,"Jira,Microsoft Teams,Slack"
67,SOC GEN,Work from office,9.2,10,5,0,0,August,ğŸ‘¨â€ğŸ’»Devops Engineer,GitLab,"Ruby,CircleCI,Groovy,Python","Puppet,Chef,Ruby","Kubernetes,Docker,Helm,Docker Compose",,"Nagios,Ruby,Grafana,Java,Python,Prometheus,ELK stack",
68,CITI CORPORATION,Work from Home,7.4,5,4,0,2,June,ğŸ‘¨â€ğŸ’»Devops Engineer,,,"Puppet,Python,Chef","Kubernetes,Docker Compose,Docker",,Ruby,
69,SOC GEN,Work from office,7.6,7,6,0,1,June,ğŸ‘¨â€ğŸ’»Devops Engineer,"Bitbucket,GitLab,Git,GitHub","Python,Jenkins,CircleCI,Travis CI,Java",Python,Docker Compose,"Chef,Python,YAML,Ansible","Java,Ruby,Python,ELK stack","Jira,Trello"
70,SHAPOORJI PALLONJI,Work from office,9.5,7,2,2,0,October,ğŸ‘¨â€ğŸ’»Devops Engineer,"GitHub,GitLab,Git","CircleCI,Python,Jenkins,Groovy","Ruby,Ansible,Chef,Python",,"Ansible,Ruby,YAML","Python,Ruby,Nagios","Microsoft Teams,Jira"
